Numero,POR,FRA,GEO,HIS,FIS,QUI,FIL,SOC,BIO,MAT,DES
1,"6,9","8,1","6,0","6,2","6,0","8,5","7,5","9,5","5,1","8,8","7,9"
2,"4,9","6,3","5,5","4,9","6,0","6,3","8,0","7,3","5,1","5,1","6,3"
3,"6,9","6,4","7,0","8,1","6,5","7,2","7,5","9,3","6,2","8,1","8,3"
4,"7,1","6,3","6,6","8,5","6,5","7,2","6,5","10,0","6,3","7,8","6,5"
5,"6,7","7,0","6,9","6,4","6,0","5,8","8,5","9,3","2,9","6,2","9,7"
6,"6,0","7,3","6,2","6,3","7,5","6,2","8,5","8,5","6,6","8,2","8,2"
7,"7,5","6,6","6,4","7,3","8,0","8,4","8,0","8,5","5,6","7,3","8,6"
8,"6,6","6,3","6,8","5,6","6,0","6,1","8,5","7,3","5,6","9,3","7,3"
9,"6,4","6,2","6,3","7,9","7,5","7,3","7,5","6,8","6,5","8,7","9,7"
10,5.5,"6,6","6,1","5,7","6,0","7,6","7,5","6,8","5,2","4,7","6,3"
11,"7,6","8,2","6,5","7,5","6,0","9,3","8,5","9,5","7,2","8,0","8,9"
12,"6,6","8,9","7,3","7,8","8,0","7,5","9,5","10,0","6,7","9,1","7,4"
13,"7,3","8,0","6,1","7,2","6,0","7,6","8,0","9,3","6,2","7,3","6,3"
14,"7,3","6,0","7,4","6,5","6,5","7,1","9,0","9,4","7,9","7,6","8,8"
15,"6,0","6,0","6,0","7,2","6,0","7,5","6,3","8,5","5,5","6,1","7,0"
16,"7,1","7,5","6,5","7,5","7,5","10,0","9,0","9,5","7,9","8,8","8,1"
17,"7,1","8,4","6,0","8,5","6,5","8,4","7,5","10,0","7,9","9,5","8,9"
18,"8,2","8,0","8,7","8,0","6,0","9,2","8,5","10,0","6,9","9,1","9,8"
19,"7,5","5,2","5,7","6,8","6,0","7,5","5,3","8,3","6,4","7,6","8,0"
20,"7,6","6,9","6,6","7,0","6,0","5,0","8,0","9,3","5,5",6.6,"8,0"
21,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*)
22,"6,5","7,3","7,4","8,5","6,0","6,2","9,5","10,0","6,9","7,7","8,1"
23,"9,2","9,2","7,2","9,0","6,5","7,8","8,5","9,8","8,4","9,7","9,7"
24,"8,7","6,9","7,5","7,8","6,0","7,5","7,5","9,5","4,9","9,1","9,2"
25,"7,6","7,0","6,9","7,8","6,0","7,6","7,5","9,5","5,2","5,3","8,3"
26,"5,7","6,1","6,1","6,7","6,0","6,8","8,5","8,5","6,6","5,1","7,6"
27,"6,5","6,7",4.6,"7,5","6,0","7,5","7,5","8,0","5,3","7,7","7,8"
28,"7,6","6,6","6,5","7,2","6,0","3,7","9,5","8,5","6,6","8,3","6,8"
29,"6,2","5,7","5,7","4,3","6,0","4,8","7,0","8,4","7,0","4,8","7,3"
30,"5,4","5,4","6,7","3,1","6,0",4.2,"8,5","9,0","6,2","6,9","6,3"
31,"7,8","6,6","6,2","9,0","6,5","7,8","8,0","10,0","8,0",9.1,9.2
32,"9,8","7,4","6,8","8,9","6,0","5,8","8,0","8,5","7,5","9,8","6,2"
33,"6,9","7,1","7,6","7,0","8,0","6,8","8,0","9,5","6,5","9,5","8,5"
34,"3,8","7,7","4,1","7,5","7,0","6,0","6,0",(*),"8,0","5,0","6,5"
35,"6,5",(*),"8,0","5,8","10,0","6,0",5.0,"6,0","4,4","5,0","6,0"
36,"8,1","6,4","7,2","7,3","8,9","9,1","8,3","8,0","7,6","9,3","9,2"
37,"4,6","5,2","6,2","6,5","3,0","5,3","8,0","9,5","3,8","6,4","9,8"
